VECT,DIM1,BW
1,16,69
1,32,256
1,64,684
1,128,1523
1,256,2203
1,512,2136
1,1024,2370
1,2048,2593
1,4096,2416
2,16,76
2,32,284
2,64,799
2,128,2148
2,256,3593
2,512,3806
2,1024,4427
2,2048,4626
2,4096,4694
4,16,44
4,32,282
4,64,1127
4,128,2682
4,256,5639
4,512,7946
4,1024,8594
4,2048,9573
4,4096,9513
8,16,76
8,32,294
8,64,1127
8,128,3124
8,256,7716
8,512,12566
8,1024,13338
8,2048,15294
8,4096,15852
16,16,73
16,32,304
16,64,1216
16,128,3436
16,256,6894
16,512,13031
16,1024,14691
16,2048,15806
16,4096,16442
