array-size,aocl-bolama-int,aocl-bolama-double,sdaccel-bolama-int,sdaccel-bolama-double,cpu-bolama-int,cpu-bolama-double,gpu-kanton-int,gpu-kanton-double,aocl-bolama-peak,sdaccel-bolama-peak,cpu-bolama-peak,gpu-kanton-peak
0.000976563,0.036621094,,0.031347656,,0.054492188,,0.14453125,,25,20,34,336
0.00390625,0.136914063,,0.090234375,,0.192382813,,0.950097656,,25,20,34,336
0.015625,0.630566406,,0.207324219,,0.71953125,,3.706640625,,25,20,34,336
0.0625,1.141113281,,0.351953125,,2.519921875,,14.74072266,,25,20,34,336
0.25,2.026757813,,0.529589844,,7.4375,,50.12558594,,25,20,34,336
1,2.228125,,0.638183594,,18.15654297,,112.7911133,,25,20,34,336
4,2.381054688,,0.704394531,,27.04033203,,173.71875,,25,20,34,336
16,2.530273438,,0.743066406,,25.24130859,,204.5222656,,25,20,34,336
64,2.447460938,,0.7609375,,25.10117188,,203.8714844,,25,20,34,336
0.001953125,,0.072460938,,0.047851563,,0.115332031,,0.276464844,25,20,34,336
0.0078125,,0.441210938,,0.192089844,,0.396875,,1.727734375,25,20,34,336
0.03125,,1.25625,,0.387988281,,1.383300781,,6.948632813,25,20,34,336
0.125,,2.28046875,,0.72109375,,4.76328125,,27.49472656,25,20,34,336
0.5,,3.401269531,,0.988378906,,12.23085938,,93.04941406,25,20,34,336
2,,4.006933594,,1.261523438,,27.99462891,,159.1503906,25,20,34,336
8,,4.586523438,,1.402832031,,43.25273438,,214.9604492,25,20,34,336
32,,4.547851563,,1.478710938,,25.08271484,,225.1349609,25,20,34,336
128,,4.592871094,,1.518261719,,24.79375,,227.731543,25,20,34,336
